@relation coords

@attribute ﻿lon numeric
@attribute lat numeric

@data
13.296418,52.498335
13.296442,52.498332
13.296461,52.498351
13.29649,52.498367
13.296499,52.498373
13.296508,52.498382
13.296537,52.498402
13.296537,52.498412
13.296542,52.498425
13.296541,52.498428
13.296555,52.498442
13.296555,52.498442
13.296555,52.498442
13.296509,52.498424
13.296512,52.498428
13.296515,52.498436
13.296518,52.498448
13.296517,52.498458
13.296505,52.498467
13.296495,52.498476
13.29649,52.498484
13.296487,52.498489
13.296483,52.498493
13.296469,52.498491
13.296461,52.498495
13.296459,52.498497
13.296458,52.498503
13.296464,52.498506
13.296458,52.498507
13.296451,52.498503
13.296442,52.498498
13.296419,52.498491
13.296403,52.498487
13.296382,52.498484
13.296359,52.498479
13.296313,52.498475
13.29629,52.498474
13.296273,52.49847
13.296257,52.498474
13.296243,52.498477
13.296232,52.498475
13.296215,52.498471
13.296201,52.498461
13.296202,52.498457
13.296205,52.498458
13.296212,52.498462
13.296214,52.498463
13.296212,52.498463
13.296209,52.498465
13.296204,52.49847
13.296202,52.498474
13.296208,52.49848
13.296213,52.498484
13.29621,52.498492
13.296199,52.498515
13.29619,52.49853
13.296177,52.498539
13.296156,52.498544
13.296138,52.498547
13.296108,52.498556
13.296096,52.498561
13.296074,52.498562
13.296063,52.498565
13.296044,52.498566
13.296014,52.498581
13.296053,52.498604
13.296064,52.498609
13.296069,52.498612
13.296066,52.498615
13.296069,52.498629
13.29608,52.498641
13.29616,52.498673
13.296159,52.498676
13.296217,52.498675
13.296236,52.498676
13.296246,52.498681
13.296286,52.498695
13.296302,52.498703
13.296335,52.4987
13.296345,52.498696
13.296376,52.49869
13.296387,52.498683
13.296396,52.498679
13.296399,52.498675
13.2964,52.498641
13.296396,52.498638
13.296392,52.498635
13.296385,52.49863
13.296356,52.498623
13.296347,52.498628
13.296338,52.498622
13.296336,52.498614
13.296338,52.498618
13.296333,52.498609
13.296316,52.498601
13.296317,52.498606
13.296315,52.498606
13.29631,52.498602
13.296303,52.498597
13.296288,52.49859
13.296284,52.498594
13.296237,52.49857
13.296234,52.49857
13.296228,52.498563
13.296232,52.498554
13.29625,52.498545
13.296253,52.498541
13.296261,52.49853
13.296264,52.498529
13.296268,52.498513
13.296271,52.498515
13.296301,52.498525
13.296301,52.498535
13.296311,52.49854
13.296323,52.498543
13.296328,52.498546
13.296342,52.498541
13.296344,52.498542
13.296342,52.498542
13.296339,52.498543
13.296303,52.498527
13.296296,52.498522
13.296297,52.498523
13.296296,52.498521
13.2963,52.498505
13.296304,52.498501
13.296309,52.498482
13.296312,52.498483
13.296308,52.498486
13.296303,52.498488
13.296321,52.498282
13.296356,52.498488
13.296363,52.498512
13.296365,52.498511
13.296368,52.498459
13.296334,52.498447
13.296348,52.498489
13.296213,52.498558
13.296173,52.498582
13.296159,52.498585
13.296148,52.498604
13.296185,52.498611
13.296202,52.498606
13.296213,52.498588
13.296221,52.498584
13.296244,52.498562
13.296267,52.498561
13.29627,52.498555
13.296261,52.498487
13.296261,52.498484
13.296276,52.498471
13.296279,52.498472
13.296293,52.498467
13.296298,52.498464
13.296303,52.498447
13.296305,52.498449
13.296311,52.498443
13.296312,52.498441
13.29631,52.498415
13.296309,52.498412
13.296313,52.498415
13.296312,52.498423
13.296315,52.498431
13.296312,52.498446
13.296314,52.498452
13.296321,52.498451
13.296332,52.498457
13.296361,52.498458
13.296373,52.498469
13.296369,52.498483
13.296381,52.49849
13.29639,52.498493
13.296386,52.498482
13.296375,52.498458
13.296372,52.498468
13.296378,52.498474
13.296386,52.498479
13.296396,52.498461
13.2964,52.498453
13.296402,52.498454
13.296409,52.498447
13.296404,52.498439
13.2964,52.49843
13.29641,52.49843
13.296417,52.498441
13.296428,52.49846
13.296429,52.498465
13.296432,52.498466
13.296437,52.498469
13.296445,52.498478
13.296436,52.498465
13.29643,52.498436
13.296428,52.498418
13.296426,52.498402
13.296424,52.498393
13.296423,52.498389
13.296401,52.498371
13.296393,52.498364
13.296376,52.498362
13.296363,52.49835
13.296359,52.498348
13.296336,52.498348
13.296351,52.498378
13.296366,52.498385
13.296372,52.498388
13.296378,52.498387
13.296386,52.498387
13.296401,52.498386
13.296388,52.498418
13.296378,52.498419
13.296355,52.498445
13.296366,52.498502
13.296377,52.498518
13.296378,52.498529
13.29638,52.498536
13.296407,52.498535
13.296416,52.498557
13.29642,52.498565
13.296459,52.49858
13.296468,52.498587
13.296475,52.498595
13.296482,52.498604
13.296481,52.498616
13.296473,52.49859
13.296484,52.498605
13.296469,52.498595
13.296472,52.498595
13.296466,52.498579
13.296462,52.498577
13.29648,52.498625
13.296488,52.498638
13.296454,52.498635
13.296461,52.49864
13.296481,52.49863
13.296472,52.498601
13.296465,52.498592
13.296456,52.498583
13.296458,52.498583
13.296456,52.49857
13.296463,52.498561
13.296474,52.498556
13.296489,52.498554
13.296495,52.498551
13.296504,52.498543
13.296511,52.498537
13.296527,52.498532
13.296521,52.498516
13.296523,52.498514
13.296524,52.498513
13.296528,52.498511
13.296529,52.498511
13.296523,52.498509
13.296512,52.498505
13.296514,52.498507
13.296516,52.498515
13.29652,52.498513
13.296511,52.498484
13.296515,52.498485
13.296514,52.498485
13.296506,52.498485
13.296503,52.498485
13.296499,52.498477
13.2965,52.498482
13.296501,52.498492
13.296501,52.498498
13.296506,52.498502
13.296506,52.498501
13.296513,52.498517
13.29652,52.49852
13.296528,52.498534
13.296515,52.498527
13.296507,52.498532
13.296507,52.498536
13.296503,52.498536
13.296501,52.49854
13.296476,52.498551
13.296477,52.49855
13.296463,52.498544
13.296459,52.498544
13.296464,52.498549
13.296468,52.498556
13.296489,52.498575
13.29649,52.498569
13.296498,52.498578
13.296501,52.498591
13.296506,52.498607
13.296508,52.498615
13.296489,52.498646
13.29649,52.498641
13.29649,52.498642
13.296481,52.498643
13.296475,52.498644
13.296456,52.498632
13.296456,52.49863
13.296437,52.498632
13.296422,52.498637
13.296413,52.498642
13.296411,52.49864
13.296404,52.498634
13.296413,52.498631
13.29641,52.498632
13.296405,52.49863
13.296403,52.498625
13.296399,52.498613
13.296392,52.498607
13.296387,52.498615
13.296388,52.498597
13.296395,52.498594
13.296403,52.498543
13.296416,52.498538
13.296445,52.498493
13.296447,52.498497
13.296433,52.498493
13.296429,52.498509
13.296431,52.498514
13.296435,52.498526
13.296433,52.498519
13.296392,52.498425
13.296384,52.49842
13.296381,52.498426
13.296378,52.49843
13.296342,52.498437
13.296336,52.498438
13.296359,52.498422
13.296384,52.498412
13.296381,52.498389
13.296381,52.498389
13.296352,52.498367
13.296331,52.49836
13.296316,52.498359
13.296299,52.498378
13.2962,52.498423
13.296221,52.498414
13.296245,52.498398
13.29625,52.498363
13.296265,52.498357
13.29627,52.498352
13.296282,52.498352
13.296291,52.498351
13.296296,52.498354
13.296294,52.498347
13.296286,52.498346
13.296297,52.498346
13.296301,52.498346
13.296305,52.498348
13.296289,52.498363
13.296268,52.498363
13.296239,52.498355
13.296228,52.498353
13.296138,52.498296
13.296133,52.498298
13.29612,52.498296
13.296119,52.498294
13.296127,52.4983
13.296126,52.498295
13.296138,52.498299
13.296194,52.498302
13.296195,52.498313
13.296216,52.498334
13.296236,52.498362
13.296249,52.498376
13.296228,52.498386
13.296217,52.498404
13.296207,52.498424
13.296204,52.498426
13.29622,52.498425
13.296223,52.498426
13.296224,52.498426
13.296207,52.49842
13.296196,52.498418
13.296204,52.498433
13.296269,52.49844
13.296286,52.498434
13.296313,52.49842
13.296339,52.498405
13.296352,52.498397
13.296368,52.498384
13.296375,52.498368
13.296381,52.498331
13.296362,52.498321
13.296365,52.498313
13.296365,52.498316
13.296365,52.498316
13.296354,52.498303
13.296326,52.498306
13.296331,52.498326
13.296291,52.498335
13.296272,52.498318
13.29626,52.498314
13.296261,52.498318
13.296293,52.498316
13.296305,52.498311
13.296298,52.498312
13.296306,52.498347
13.296326,52.498356
13.296338,52.498356
13.296348,52.498354
13.296314,52.498308
13.29628,52.498308
13.296282,52.498309
13.296282,52.498313
13.296275,52.498316
13.296267,52.498325
13.296255,52.498334
13.296229,52.498349
13.296216,52.498359
13.29618,52.498372
13.296189,52.49839
13.296203,52.498385
13.296218,52.498384
13.296232,52.498395
13.296229,52.498395
13.296237,52.498399
13.296246,52.498416
13.296248,52.498439
13.296246,52.498444
13.296234,52.498454
13.296241,52.498457
13.296253,52.498465
13.296269,52.498475
13.296279,52.498481
13.296292,52.498492
13.29628,52.498484
13.296272,52.498481
13.296269,52.498491
13.296264,52.498492
13.296269,52.498466
13.296274,52.498477
13.296267,52.498466
13.296271,52.498476
13.296278,52.49849
13.296278,52.498492
13.296273,52.498493
13.296272,52.49849
13.296271,52.498445
13.29628,52.498436
13.296283,52.498438
13.296295,52.49843
13.296302,52.498433
13.296317,52.498425
13.296316,52.498422
13.296321,52.498413
13.296324,52.498409
13.29635,52.498408
13.296368,52.498418
13.296391,52.498431
13.296421,52.498456
13.29643,52.498463
13.296425,52.498447
13.29643,52.498456
13.296452,52.498485
13.296463,52.498491
13.296472,52.498495
13.296475,52.498496
13.296476,52.498491
13.296478,52.498486
13.296483,52.498486
13.296454,52.498446
13.296451,52.498441
13.296439,52.498417
13.296443,52.498419
13.296448,52.498416
13.296449,52.498419
13.296445,52.498423
13.296452,52.498436
13.296464,52.498462
13.296459,52.498445
13.296445,52.498426
13.296425,52.498403
13.296419,52.498395
13.296387,52.498349
13.296381,52.498355
13.296369,52.498359
13.296391,52.498388
13.296411,52.498415
13.296418,52.498432
13.296418,52.498432
13.296369,52.498383
13.296361,52.498385
13.296361,52.498388
13.296352,52.498415
13.296357,52.498418
13.296358,52.498415
13.296353,52.498417
13.296365,52.49845
13.296383,52.49847
13.296382,52.498482
13.296385,52.498493
13.29638,52.498503
13.296372,52.498507
13.296367,52.498511
13.296369,52.498522
13.29637,52.498533
13.296363,52.498537
13.29636,52.498536
13.296338,52.498534
13.296315,52.498532
13.296309,52.49853
13.296269,52.498512
13.296279,52.498507
13.296268,52.498503
13.296274,52.498501
13.296241,52.498496
13.296222,52.498499
13.296205,52.498506
13.296183,52.498513
13.296196,52.498515
13.296205,52.498515
13.296215,52.498518
13.296212,52.49852
13.296174,52.498526
13.296178,52.49854
13.296194,52.498527
13.296198,52.498527
13.296292,52.498531
13.296295,52.498533
13.296299,52.498534
13.296304,52.498495
13.296312,52.498494
13.29632,52.498489
13.296324,52.498485
13.296321,52.498483
13.296316,52.49847
13.296298,52.498448
13.296306,52.498446
13.29631,52.498447
13.296308,52.498438
13.29631,52.498437
13.296315,52.49844
13.296316,52.498439
13.296319,52.498433
13.296352,52.498446
13.296379,52.498454
13.296373,52.498444
13.296374,52.498445
13.296367,52.49844
13.296362,52.498434
13.296356,52.49843
13.296352,52.498427
13.296351,52.498425
13.296303,52.498411
13.296303,52.498411
13.296332,52.498388
13.296331,52.498399
13.296323,52.498409
13.296323,52.498409
13.296292,52.498393
13.296305,52.498393
13.296338,52.498393
13.296354,52.4984
13.296365,52.498423
13.296387,52.498427
13.296383,52.498405
13.29638,52.498406
13.296382,52.498417
13.296401,52.498423
13.296404,52.498429
13.296416,52.498439
13.296441,52.498455
13.296441,52.498455
13.296479,52.498471
13.296478,52.498419
13.296407,52.498433
